Ticker,Close_Price
KREN.JK,10.0
LAPD.JK,33.0
LCGP.JK,
LEAD.JK,76.0
LINK.JK,1590.0
LION.JK,418.0
LMAS.JK,
LMPI.JK,135.0
LMSH.JK,
LPCK.JK,510.0
LPGI.JK,460.0
LPIN.JK,384.0
LPKR.JK,88.0
LPLI.JK,298.0
LPPF.JK,1960.0
LPPS.JK,57.0
LRNA.JK,136.0
LSIP.JK,1200.0
LTLS.JK,980.0
MAGP.JK,
MAIN.JK,730.0
MAMI.JK,
MAPI.JK,1310.0
MASA.JK,
MAYA.JK,198.0
MBAP.JK,1890.0
MBSS.JK,1180.0
MBTO.JK,76.0
MCOR.JK,70.0
MDIA.JK,25.0
MDKA.JK,1830.0
MDLN.JK,52.0
MDRN.JK,7.0
MEDC.JK,1140.0
MEGA.JK,3570.0
MERK.JK,3610.0
META.JK,
MFIN.JK,3200.0
MFMI.JK,
MGNA.JK,28.0
MICE.JK,484.0
MIDI.JK,438.0
MIKA.JK,2480.0
MIRA.JK,10.0
MITI.JK,162.0
MKPI.JK,24275.0
MLBI.JK,6125.0
MLIA.JK,278.0
MLPL.JK,111.0
MLPT.JK,31025.0
MMLP.JK,515.0
MNCN.JK,262.0
MPMX.JK,1060.0
MPPA.JK,51.0
MRAT.JK,236.0
MREI.JK,725.0
MSKY.JK,55.0
MTDL.JK,570.0
MTFN.JK,5.0
MTLA.JK,432.0
MTSM.JK,
MYOH.JK,1755.0
MYOR.JK,2310.0
MYRX.JK,
MYTX.JK,
NELY.JK,392.0
NIKL.JK,246.0
NIPS.JK,
NIRO.JK,124.0
NISP.JK,1350.0
NOBU.JK,705.0
NRCA.JK,342.0
OCAP.JK,
OKAS.JK,120.0
OMRE.JK,
PADI.JK,40.0
PALM.JK,380.0
PANR.JK,775.0
PANS.JK,1555.0
PBRX.JK,27.0
PDES.JK,388.0
PEGE.JK,116.0
PGAS.JK,1665.0
PGLI.JK,127.0
PICO.JK,108.0
PJAA.JK,484.0
PKPK.JK,760.0
PLAS.JK,
PLIN.JK,
PNBN.JK,1180.0
PNBS.JK,50.0
PNIN.JK,910.0
PNLF.JK,290.0
PNSE.JK,386.0
POLY.JK,24.0
POOL.JK,
PPRO.JK,
PRAS.JK,
PSAB.JK,286.0
PSDN.JK,73.0
PSKT.JK,34.0
PTBA.JK,2770.0
PTIS.JK,296.0
PTPP.JK,444.0
PTRO.JK,3150.0
PTSN.JK,214.0
PTSP.JK,845.0
PUDP.JK,222.0
PWON.JK,394.0
PYFA.JK,242.0
RAJA.JK,2160.0
RALS.JK,438.0
RANC.JK,434.0
RBMS.JK,25.0
RDTX.JK,11850.0
RELI.JK,452.0
RICY.JK,40.0
RIGS.JK,705.0
RIMO.JK,
RODA.JK,40.0
ROTI.JK,860.0
RUIS.JK,165.0
SAFE.JK,180.0
SAME.JK,280.0
SCCO.JK,2170.0
SCMA.JK,182.0
SCPI.JK,
SDMU.JK,26.0
SDPC.JK,129.0
SDRA.JK,362.0
SGRO.JK,3100.0
SHID.JK,735.0
SIDO.JK,525.0
SILO.JK,2350.0
SIMA.JK,
SIMP.JK,416.0
SIPD.JK,775.0
SKBM.JK,352.0
SKLT.JK,190.0
SKYB.JK,
SMAR.JK,3630.0
SMBR.JK,250.0
SMCB.JK,
SMDM.JK,1375.0
SMDR.JK,286.0
SMGR.JK,2520.0
SMMA.JK,15800.0
SMMT.JK,925.0
SMRA.JK,434.0
SMRU.JK,
SMSM.JK,1920.0
SOCI.JK,166.0
SONA.JK,3770.0
SPMA.JK,260.0
SQMI.JK,50.0
SRAJ.JK,3010.0
SRIL.JK,
SRSN.JK,51.0
SRTG.JK,1620.0
SSIA.JK,860.0
SSMS.JK,1430.0
SSTM.JK,214.0
STAR.JK,39.0
STTP.JK,11000.0
SUGI.JK,
SULI.JK,92.0
SUPR.JK,
TALF.JK,304.0
TARA.JK,9.0
TAXI.JK,7.0
TBIG.JK,2020.0
TBLA.JK,720.0
TBMS.JK,875.0
TCID.JK,2550.0
TELE.JK,
TFCO.JK,
TGKA.JK,6600.0
TIFA.JK,735.0
TINS.JK,1120.0
TIRA.JK,2150.0
TIRT.JK,
TKIM.JK,5725.0
TLKM.JK,2660.0
TMAS.JK,141.0
TMPO.JK,119.0
TOBA.JK,406.0
TOTL.JK,770.0
TOTO.JK,234.0
TOWR.JK,615.0
TPIA.JK,9025.0
TPMA.JK,630.0
TRAM.JK,
TRIL.JK,
TRIM.JK,370.0
TRIO.JK,
TRIS.JK,163.0
TRST.JK,474.0
TRUS.JK,496.0
TSPC.JK,2490.0
ULTJ.JK,1360.0
UNIC.JK,7875.0
UNIT.JK,
UNSP.JK,119.0
UNTR.JK,21625.0
UNVR.JK,1790.0
VICO.JK,142.0
VINS.JK,112.0
VIVA.JK,12.0
VOKS.JK,199.0
VRNA.JK,80.0
WAPO.JK,184.0
WEHA.JK,103.0
WICO.JK,
WIIM.JK,845.0
WIKA.JK,
WINS.JK,350.0
WOMF.JK,342.0
WSKT.JK,
WTON.JK,87.0
YPAS.JK,312.0
YULE.JK,2680.0
ZBRA.JK,50.0
SHIP.JK,1675.0
CASA.JK,900.0
DAYA.JK,1400.0
DPUM.JK,50.0
IDPR.JK,176.0
JGLE.JK,8.0
KINO.JK,1115.0
MARI.JK,50.0
MKNT.JK,
MTRA.JK,
OASA.JK,133.0
POWR.JK,720.0
INCF.JK,26.0
WSBP.JK,14.0
PBSA.JK,396.0
PRDA.JK,2520.0
BOGA.JK,570.0
BRIS.JK,2900.0
PORT.JK,835.0
CARS.JK,90.0
MINA.JK,100.0
FORZ.JK,
CLEO.JK,1350.0
TAMU.JK,13.0
CSIS.JK,66.0
TGRA.JK,36.0
FIRE.JK,83.0
TOPS.JK,
KMTR.JK,280.0
ARMY.JK,
MAPB.JK,1170.0
WOOD.JK,370.0
HRTA.JK,575.0
MABA.JK,
HOKI.JK,95.0
MPOW.JK,135.0
MARK.JK,820.0
NASA.JK,16.0
MDKI.JK,161.0
BELL.JK,53.0
KIOS.JK,51.0
GMFI.JK,46.0
MTWI.JK,156.0
ZINC.JK,12.0
MCAS.JK,1530.0
PPRE.JK,62.0
WEGE.JK,66.0
PSSI.JK,378.0
MORA.JK,416.0
DWGL.JK,264.0
PBID.JK,550.0
JMAS.JK,139.0
CAMP.JK,200.0
IPCM.JK,290.0
PCAR.JK,50.0
LCKM.JK,195.0
BOSS.JK,
HELI.JK,306.0
JSKY.JK,
INPS.JK,102.0
GHON.JK,1580.0
TDPM.JK,
DFAM.JK,51.0
NICK.JK,690.0
BTPS.JK,1305.0
SPTO.JK,690.0
PRIM.JK,60.0
HEAL.JK,1300.0
TRUK.JK,112.0
PZZA.JK,161.0
TUGU.JK,985.0
MSIN.JK,480.0
SWAT.JK,26.0
KPAL.JK,
TNCA.JK,152.0
MAPA.JK,760.0
TCPI.JK,6125.0
IPCC.JK,1075.0
RISE.JK,1055.0
BPTR.JK,73.0
POLL.JK,
NFCX.JK,1850.0
MGRO.JK,720.0
NUSA.JK,
FILM.JK,2840.0
ANDI.JK,15.0
LAND.JK,27.0
MOLI.JK,210.0
PANI.JK,12075.0
DIGI.JK,17.0
CITY.JK,95.0
SAPX.JK,362.0
KPAS.JK,
SURE.JK,2290.0
HKMU.JK,
MPRO.JK,2010.0
DUCK.JK,
GOOD.JK,372.0
SKRN.JK,420.0
YELO.JK,20.0
CAKK.JK,145.0
SATU.JK,195.0
ZONE.JK,810.0
PEHA.JK,264.0
FOOD.JK,107.0
BEEF.JK,286.0
POLI.JK,
CLAY.JK,920.0
NATO.JK,159.0
JAYA.JK,90.0
COCO.JK,72.0
MTPS.JK,16.0
CPRI.JK,
HRME.JK,31.0
POSA.JK,
JAST.JK,58.0
FITT.JK,262.0
BOLA.JK,94.0
CCSI.JK,362.0
SFAN.JK,1915.0
POLU.JK,
KJEN.JK,126.0
KAYU.JK,
ITIC.JK,232.0
PAMG.JK,85.0
IPTV.JK,25.0
BLUE.JK,328.0
ENVY.JK,
EAST.JK,101.0
LIFE.JK,6300.0
FUJI.JK,346.0
KOTA.JK,10.0
INOV.JK,92.0
ARKA.JK,24.0
SMKL.JK,149.0
HDIT.JK,18.0
KEEN.JK,850.0
BAPI.JK,9.0
TFAS.JK,134.0
GGRP.JK,
OPMS.JK,85.0
NZIA.JK,64.0
SLIS.JK,50.0
PURE.JK,
IRRA.JK,416.0
DMMX.JK,398.0
SINI.JK,3760.0
WOWS.JK,49.0
ESIP.JK,33.0
TEBE.JK,655.0
KEJU.JK,610.0
PSGO.JK,192.0
AGAR.JK,260.0
IFSH.JK,770.0
REAL.JK,45.0
IFII.JK,232.0
PMJS.JK,123.0
UCID.JK,560.0
GLVA.JK,326.0
PGJO.JK,402.0
AMAR.JK,174.0
CSRA.JK,655.0
INDO.JK,176.0
AMOR.JK,555.0
TRIN.JK,90.0
DMND.JK,790.0
PURA.JK,16.0
PTPW.JK,910.0
TAMA.JK,30.0
IKAN.JK,102.0
AYLS.JK,86.0
DADA.JK,9.0
ASPI.JK,158.0
ESTA.JK,69.0
BESS.JK,1400.0
CSMI.JK,2450.0
BBSS.JK,272.0
BHAT.JK,610.0
CASH.JK,58.0
TECH.JK,
EPAC.JK,10.0
