ACES
ADMR
ADRO
AKRA
AMMN
AMRT
ANTM
ARTO
ASII
BBCA
BBNI
BBRI
BBTN
BMRI
BRIS
BRPT
CPIN
CTRA
ESSA
EXCL
GOTO
ICBP
INCO
INDF
INKP
ISAT
ITMG
JPFA
JSMR
KLBF
MAPA
MAPI
MBMA
MDKA
MEDC
PGAS
PGEO
PTBA
SIDO
SMGR
SMRA
TLKM
TOWR
UNTR
UNVR
